Conference,Year,Title,DOI,AuthorNames-Deduped,Award,Accessible,Early,Resources
Vis,2024,Impact of Vertical Scaling on Normal Probability Density Function Plots,10.1109/TVCG.2024.3456396,Racquel Fygenson;Lace M. Padilla,,TRUE,TRUE,P;V;O
Vis,2024,Improved Visual Saliency of Graph Clusters with Orderable Node-Link Layouts,10.1109/TVCG.2024.3456167,Nora Al-Naami;Nicolas Medoc;Matteo Magnani;Mohammad Ghoniem,,,TRUE,P;V;O
Vis,2024,Interactive Design-of-Experiments: Optimizing a Cooling System,10.1109/TVCG.2024.3456356,Rainer Splechtna;Majid Behravan;Mario Jelovic;Denis Gracanin;Helwig Hauser;Kresimir Matkovic,,,TRUE,P;V;O
Vis,2024,KNOWNET: Guided Health Information Seeking from LLMs via Knowledge Graph Integration,10.1109/TVCG.2024.3456364,Youfu Yan;Yu Hou;Yongkang Xiao;Rui Zhang;Qianwen Wang,HM,,TRUE,P;V;O
Vis,2024,Learnable and Expressive Visualization Authoring through Blended Interfaces,10.1109/TVCG.2024.3456598,Sehi L'Yi;Astrid van den Brandt;Etowah Adams;Huyen N. Nguyen;Nils Gehlenborg,HM,TRUE,TRUE,P;V;O
Vis,2024,LLM Comparator: Interactive Analysis of Side-by-Side Evaluation of Large Language Models,10.1109/TVCG.2024.3456354,Minsuk Kahng;Ian Tenney;Mahima Pushkarna;Michael Xieyang Liu;James Wexler;Emily Reif;Krystal Kallarackal;Minsuk Chang;Michael Terry;Lucas Dixon,,,TRUE,V;O
Vis,2024,Localized Evaluation for Constructing Discrete Vector Fields,10.1109/TVCG.2024.3456355,Tanner Finken;Julien Tierny;Joshua A Levine,,,TRUE,P;V;O
Vis,2024,Loops: Leveraging Provenance and Visualization to Support Exploratory Data Analysis in Notebooks,10.1109/TVCG.2024.3456186,Klaus Eckelt;Kiran Gadhave;Alexander Lex;Marc Streit,,,TRUE,P;V;O
Vis,2024,Manipulable Semantic Components: a Computational Representation of Data Visualization Scenes,10.1109/TVCG.2024.3456296,Zhicheng Liu;Chen Chen;John Hooker,HM,,TRUE,V;O
Vis,2024,"Mind Drifts, Data Shifts: Utilizing Mind Wandering to Track the Evolution of User Experience with Data Visualizations",10.1109/TVCG.2024.3456344,Anjana Arunkumar;Lace M. Padilla;Chris Bryan,,TRUE,TRUE,P;V;O
